Datetime,DO saturation (%)
2020-02-21 19:00:00+07,87.28
2020-02-21 20:00:00+07,85.22
2020-02-21 21:00:00+07,83.23
2020-02-21 22:00:00+07,84.3
2020-02-21 23:00:00+07,82.64
2020-02-22 00:00:00+07,84.17
2020-02-22 01:00:00+07,85.21
2020-02-22 02:00:00+07,92.18
2020-02-22 03:00:00+07,93.65
2020-02-22 04:00:00+07,93.56
2020-02-22 05:00:00+07,92.19
2020-02-22 06:00:00+07,90.66
2020-02-22 07:00:00+07,91.7
2020-02-22 08:00:00+07,89.41
2020-02-22 09:00:00+07,88.69
2020-02-22 10:00:00+07,89.25
2020-02-22 11:00:00+07,92.41
2020-02-22 12:00:00+07,92.1
2020-02-22 13:00:00+07,94.37
2020-02-22 14:00:00+07,98.02
2020-02-22 15:00:00+07,99.04
2020-02-22 16:00:00+07,99.72
2020-02-22 17:00:00+07,97.35
2020-02-22 18:00:00+07,94.12
2020-02-22 19:00:00+07,90.98
2020-02-22 20:00:00+07,88.48
2020-02-22 21:00:00+07,86.83
2020-02-22 22:00:00+07,84.5
2020-02-22 23:00:00+07,83.77
2020-02-23 00:00:00+07,84.71
2020-02-23 01:00:00+07,84.98
2020-02-23 02:00:00+07,89.74
2020-02-23 03:00:00+07,93.53
2020-02-23 04:00:00+07,92.98
2020-02-23 05:00:00+07,92.45
2020-02-23 06:00:00+07,91.95
2020-02-23 07:00:00+07,90.05
2020-02-23 08:00:00+07,83.35
2020-02-23 09:00:00+07,81.75
2020-02-23 10:00:00+07,81.37
2020-02-23 11:00:00+07,83.23
2020-02-23 12:00:00+07,83.93
2020-02-23 13:00:00+07,85.37
2020-02-23 14:00:00+07,91.15
2020-02-23 15:00:00+07,99.72
2020-02-23 16:00:00+07,101.98
2020-02-23 17:00:00+07,103.08
2020-02-23 18:00:00+07,102.55
2020-02-23 19:00:00+07,95.17
2020-02-23 20:00:00+07,91.02
2020-02-23 21:00:00+07,91.45
2020-02-23 22:00:00+07,88.02
2020-02-23 23:00:00+07,90.75
2020-02-24 00:00:00+07,89.66
2020-02-24 01:00:00+07,95.61
2020-02-24 02:00:00+07,98.07
2020-02-24 03:00:00+07,97.94
2020-02-24 04:00:00+07,99.04
2020-02-24 05:00:00+07,96.72
2020-02-24 06:00:00+07,94.92
2020-02-24 07:00:00+07,94.83
2020-02-24 08:00:00+07,91.43
2020-02-24 09:00:00+07,86.76
2020-02-24 10:00:00+07,83.05
2020-02-24 11:00:00+07,83.17
2020-02-24 12:00:00+07,83.15
2020-02-24 13:00:00+07,85.59
2020-02-24 14:00:00+07,85.42
2020-02-24 15:00:00+07,92.21
2020-02-24 16:00:00+07,97.61
2020-02-24 17:00:00+07,101.35
2020-02-24 18:00:00+07,100.33
2020-02-24 19:00:00+07,94.73
2020-02-24 20:00:00+07,91.82
2020-02-24 21:00:00+07,91.51
2020-02-24 22:00:00+07,92.0
2020-02-24 23:00:00+07,88.77
2020-02-25 00:00:00+07,87.7
2020-02-25 01:00:00+07,95.51
2020-02-25 02:00:00+07,95.05
2020-02-25 03:00:00+07,96.58
2020-02-25 04:00:00+07,96.75
2020-02-25 05:00:00+07,95.98
2020-02-25 06:00:00+07,94.54
2020-02-25 07:00:00+07,93.2
2020-02-25 08:00:00+07,92.79
2020-02-25 09:00:00+07,88.58
2020-02-25 10:00:00+07,87.0
2020-02-25 11:00:00+07,83.53
2020-02-25 12:00:00+07,83.54
2020-02-25 13:00:00+07,83.64
2020-02-25 14:00:00+07,89.57
2020-02-25 15:00:00+07,97.39
2020-02-25 16:00:00+07,98.06
2020-02-25 17:00:00+07,99.31
2020-02-25 18:00:00+07,103.26
2020-02-25 19:00:00+07,103.04
2020-02-25 20:00:00+07,97.16
2020-02-25 21:00:00+07,94.44
2020-02-25 22:00:00+07,93.31
2020-02-25 23:00:00+07,91.15
